n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
16,1,95.4,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0000,neu,11001|1|1|1|1|33|1|2|6|1|2|1|4|4|3|0|0|1|1|0|1|0|0|0|1|2|1|1|1|4|4|2|3|3|2|0|joy|4|3|0110011|during the period of falling in love
15,1,78.8,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0001,neu,11001|1|1|1|1|33|1|2|6|1|2|3|4|1|3|0|0|0|2|0|0|0|0|1|1|1|3|3|0|3|1|2|2|1|0|0|anger|1|3|0110013|when i was driving home after  several days of hard work
10,1,86.7,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0002,neu,11001|1|1|1|1|33|1|2|6|1|2|5|4|4|4|3|0|0|0|0|0|0|0|1|1|1|3|0|0|4|1|0|0|2|0|0|disgust|4|4|0110015|the time i knocked a deer down - the sight of the animal's á injuries and helplessness.  the realization that the animal was á so badly hurt that it had to be put down
10,1,95.2,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0003,neu,11004|1|1|4|1|23|8|2|6|4|2|2|4|4|4|0|0|0|0|1|0|0|0|0|3|3|3|1|1|1|3|0|2|0|0|0|fear|4|4|0110042|when
21,2,79.3,0.064,0.7192,0.6667,0.128,0.0,0.3333,,NA,,,0.0,0.1429,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,is_0004,neu,11004|1|1|4|1|23|8|2|6|4|2|4|1|3|2|0|1|0|0|1|0|0|0|0|2|2|3|3|0|1|5|0|1|0|0|1|sadness|3|2|0110044|when i recently thought about the hard work it takes to study
20,1,68.1,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,-0.05,0.0,0,0,0,0,0,0,0,0,is_0005,neu,11004|1|1|4|1|23|8|2|6|4|2|6|1|1|1|0|0|0|0|1|0|0|0|0|2|1|3|2|3|1|5|1|2|2|0|0|shame|1|1|0110046|when i was tired and unmotivated
18,1,75.8,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0006,neu,11005|1|1|5|2|22|1|1|7|6|2|2|3|1|2|1|0|2|1|0|0|0|0|1|1|2|3|2|2|4|3|0|2|2|0|0|fear|1|2|0110052|when one has arranged to meet someone and that person arrives á late
9,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0007,neu,11005|1|1|5|2|22|1|1|7|6|2|5|4|2|2|0|0|1|0|0|0|0|0|1|2|1|3|2|2|2|3|3|2|2|0|0|disgust|2|2|0110055|when one finds out that someone you know is not at all like one á had thought
4,1,54.7,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0008,neu,11005|1|1|5|2|22|1|1|7|6|2|6|3|2|2|0|1|0|0|0|0|0|0|0|2|0|3|2|2|1|2|2|2|2|1|1|shame|2|2|0110056|when one has been unjust
5,1,66.4,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0009,neu,11007|1|1|7|2|35|0|2|0|8|2|7|4|4|3|0|0|0|0|0|0|0|0|0|3|1|0|0|0|4|1|1|1|3|0|0|guilt|4|3|0110077|i experience a sense of guilt as my middle son cannot express á himself like other children
