id,text_preview,n_sentences,plef_watershed_sentence,plef_lewi_drop,human_turning_point_sentence,annotator_name,confidence_1to5,notes
ge_tra_00001,"Now if he does off himself, everyone will think hes having a laugh screwing with people instead of actually dead...",1,0,0.0,,,,
ge_tra_00006,Yes I heard abt the f bombs! That has to be why. Thanks for your reply:) until then hubby and I will anxiously wait 😝...,3,0,0.0,,,,
ge_tra_00011,"Aww... she'll probably come around eventually, I'm sure she was just jealous of [NAME]... I mean, what woman wouldn't be! lol...",2,0,0.0,,,,
ge_tra_00013,R/sleeptrain Might be time for some sleep training. Take a look and try to feel out what's right for your family....,2,0,0.0,,,,
ge_tra_00036,"18 is hot but very bland, it's just here this blonde lady who is not as hot as blonde launch....",1,0,0.0,,,,
ge_tra_00038,Pretty sure I’ve seen this. He swings away with the harness he is wearing. Still looks painful but I think he lives...,3,0,0.0,,,,
ge_tra_00046,It's true though. He either gets no shirt and freezes to death or wears a stupid looking butchers cape. I hope he gets something better next season...,3,0,0.0,,,,
ge_tra_00088,Sometimes life actually hands you lemons. We're just lucky that we have a proverbial phrase that gives us an idea of what we can do with them....,2,0,0.0,,,,
ge_tra_00093,I love Rocket Love and Blasted. I just wonder who the songs were written for because these are all reference tracks except Acura Intergul...,2,0,0.0,,,,
ge_tra_00098,So this means the people who have debt can see those that don’t. Am I sensing an easier target for muggings and such?...,2,0,0.0,,,,
ge_tra_00103,"[NAME] was useless, aside from bandaging [NAME] up a bit more than she already did and treating [NAME], name one decision [NAME] has made smartly....",1,0,0.0,,,,
ge_tra_00105,i wouldn't take that significant of a pay cut. you should keep your job and do your creative writing on the side/free time....,1,0,0.0,,,,
ge_tra_00109,Thanks I'll give it a go. Nothing used for randoms at all? Would it be better for me to find a group to play with?...,3,0,0.0,,,,
ge_tra_00112,So I said earlier that this team was boring without [NAME] lately. I take that back after the last two games....,2,0,0.0,,,,
ge_tra_00119,"If you are into sours they put out some decent stuff, but anything outside of that is completely forgettable and average....",1,0,0.0,,,,
ge_tra_00124,"""[NAME] dude I see [NAME] so rarely that I forget that he's the OG """"Fuck this character fuck this stupid game"""" king. ""...",1,0,0.0,,,,
ge_tra_00126,"Wow, that landlady sure is a piece of shit. I'd be interested in knowing how many people she has discriminated against or harassed in the past....",2,0,0.0,,,,
ge_tra_00129,Tournament was a blast met some really cool people loved it all. Thanks for holding it. Would love to do it again someday...,3,0,0.0,,,,
ge_tra_00133,By the way the dogs also alerted at kuss road but will just ignore that much like [NAME] did lol ciao...,1,0,0.0,,,,
ge_tra_00135,"Just an employee, just stressed that it takes so long to save 10k for example and even that is nothing ! Should of brought more bitcoins...",2,0,0.0,,,,
ge_tra_00137,I don't think aspergers causes me distress or anxiety. I think having to live in a society that privileges neurotypical modes of interaction causes me distress and anxiety...,2,0,0.0,,,,
ge_tra_00140,2019 should just be a picture of a trash can or dumpster on fire. Amazing how shitty DICE can make things in 10 years....,2,0,0.0,,,,
ge_tra_00144,"Absolutely. I'd love it. No matter how much I like the guy, if he just goes for it that's not cool....",3,0,0.0,,,,
ge_tra_00166,"My stylist is a fit, handsome guy with big, sexy hands. Can't say I don't like it when he tousles my hair....",2,0,0.0,,,,
ge_tra_00167,You are giving them human emotions. If you spent any time with cattle at all you would realize how silly that is....,2,0,0.0,,,,
ge_tra_00168,"""He may have, I was more worried about the """"running and shooting the AR one handed, off to the side"""".""...",1,0,0.0,,,,
ge_tra_00170,horse meat is fucking peng i love it. why is it ok for a cow to be slaughtered for food but not a horse? ridiculous double standards...,1,0,0.0,,,,
ge_tra_00192,It creates perverse incentives. Allow underpaid prison labour and suddenly you've an incentive towards exploiting your prison population rather than rehabilitating them....,2,0,0.0,,,,
ge_tra_00199,"I'm 14 stone...so probably about 2 stone over weight. I don't drink alcohol or do drugs, but I love food.......",2,0,0.0,,,,
ge_tra_00205,"I'm not saying your analysis is wrong or not based on evidence, just that the data it generates is not useful....",1,0,0.0,,,,
